index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
39,prefill: post: dual-qpc export orchestration,24.537,24.538,0.0,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.537,50152.863,1.01,1.01,0.0,0.0,1
40,prefill: onnx.load,24.538,24.539,0.001,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.539,50152.863,0.707,0.707,0.0,0.0,1
41,prefill: post: onnx.load,24.539,24.539,0.0,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.539,50152.863,0.495,0.495,0.0,0.0,1
42,prefill: language compile wrapper,24.539,24.54,0.0,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.539,50152.863,0.346,0.346,0.0,0.0,1
43,prefill: onnx.load,24.54,24.54,0.001,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.54,50152.863,0.242,0.242,0.0,0.0,1
44,prefill: post: onnx.load,24.54,24.546,0.006,23288.875,23288.875,0.0,23288.875,23288.875,23288.875,24.546,50152.863,1.017,1.017,0.0,0.0,1
45,prefill: subprocess.run: qaic-compile,24.546,109.585,85.039,23288.875,23288.891,0.016,23288.875,24005.728,26391.348,105.623,65668.875,1.194,17.301,9.59,5425.617,1646
46,prefill: post: subprocess.run: qaic-compile,109.585,109.586,0.001,23288.93,23288.93,0.0,23288.93,23288.93,23288.93,109.586,50152.863,0.382,0.382,0.0,0.0,1
47,prefill: post: language compile wrapper,109.586,109.586,0.0,23288.93,23288.93,0.0,23288.93,23288.93,23288.93,109.586,50152.863,0.268,0.268,0.0,0.0,1
48,prefill: post: compile request,109.586,109.596,0.01,23288.93,23288.93,0.0,23288.93,23288.93,23288.93,109.586,50152.863,0.268,0.268,0.0,0.0,1
49,Completion,109.596,109.586,-0.01,23288.93,23288.93,0.0,23288.93,23288.93,23288.93,109.586,50152.863,0.268,0.268,0.0,0.0,1
