index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
64,onnx.load,217.044,217.044,0.0,8460.445,8460.445,0.0,8460.445,8460.445,8460.445,217.044,35300.074,0.51,0.51,0.0,0.0,1
65,post: onnx.load,217.044,217.046,0.002,8460.457,8460.48,0.023,8460.457,8460.469,8460.48,217.046,35300.074,0.304,0.357,0.106,0.0,2
66,onnx.load,217.046,217.047,0.001,8461.125,8461.125,0.0,8461.125,8461.125,8461.125,217.047,35300.074,0.175,0.175,0.0,0.0,1
67,onnx.load,217.047,217.047,0.0,8461.125,8461.125,0.0,8461.125,8461.125,8461.125,217.047,35300.074,0.175,0.175,0.0,0.0,1
68,post: onnx.load,217.047,217.053,0.005,8463.098,8463.098,0.0,8463.098,8463.098,8463.098,217.052,36836.078,0.54,0.54,0.0,0.0,1
69,post: onnx.load,217.053,231.806,14.753,8726.332,20460.84,11734.508,8726.332,14423.192,20460.84,231.805,47274.121,1.63,1.76,11918.981,0.0,41
70,onnx.save,231.806,236.332,4.526,20460.84,20460.84,0.0,20460.84,20460.84,20460.84,236.332,47274.121,1.235,1.235,0.0,0.0,1
71,onnx.save,236.332,245.292,8.96,23183.848,21996.844,-1187.004,21711.848,22238.347,23183.848,239.544,49997.129,1.323,1.371,0.685,8843.391,4
72,post: onnx.save,245.292,246.276,0.984,15998.941,14462.938,-1536.004,14462.938,15742.941,15998.941,245.832,42823.102,1.237,1.428,0.973,1536.359,6
73,post: onnx.save,246.276,251.904,5.629,8465.004,8465.02,0.016,8465.004,8465.011,8465.02,249.68,35300.074,0.888,1.053,11.766,0.0,73
74,onnx.load,251.904,251.905,0.001,8465.02,8465.02,0.0,8465.02,8465.02,8465.02,251.905,35300.074,0.642,0.642,0.0,0.0,1
75,post: onnx.load,251.905,251.906,0.0,8465.02,8465.02,0.0,8465.02,8465.02,8465.02,251.905,35300.074,0.449,0.449,0.0,0.0,1
76,onnx.load,251.906,251.906,0.001,8465.02,8465.02,0.0,8465.02,8465.02,8465.02,251.906,35300.074,4.045,4.045,0.0,0.0,1
77,post: onnx.load,251.906,251.918,0.011,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.917,35300.074,3.039,3.039,0.0,0.0,1
78,onnx.save,251.918,251.922,0.005,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.922,35300.074,2.128,2.128,0.0,0.0,1
79,post: onnx.save,251.922,251.923,0.0,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.922,35300.074,1.489,1.489,0.0,0.0,1
80,onnx.load,251.923,251.923,0.0,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.923,35300.074,1.042,1.042,0.0,0.0,1
81,post: onnx.load,251.923,251.926,0.003,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.926,35300.074,0.73,0.73,0.0,0.0,1
82,onnx.save,251.926,251.977,0.051,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.975,35300.074,0.637,0.749,0.001,0.0,2
83,post: onnx.save,251.977,251.978,0.001,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.978,35300.074,1.913,1.913,0.0,0.0,1
84,onnx.load,251.978,251.978,0.0,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.978,35300.074,1.339,1.339,0.0,0.0,1
85,post: onnx.load,251.978,251.979,0.0,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.979,35300.074,0.937,0.937,0.0,0.0,1
86,onnx.load,251.979,251.979,0.0,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.979,35300.074,0.656,0.656,0.0,0.0,1
87,post: onnx.load,251.979,251.98,0.001,8465.098,8465.098,0.0,8465.098,8465.098,8465.098,251.98,35300.074,0.459,0.459,0.0,0.0,1
88,subprocess.run: qaic-compile,251.98,405.992,154.012,8517.02,8466.363,-50.656,8466.363,9705.975,11860.383,274.017,50696.402,0.812,3.515,17.974,5519.572,2981
89,post: subprocess.run: qaic-compile,405.992,406.022,0.03,8221.879,8221.879,0.0,8221.879,8221.879,8221.879,406.021,35046.074,0.437,0.437,0.0,0.0,1
90,post: compile orchestration: qeff_model.compile,406.022,406.139,0.117,8221.879,8221.879,0.0,8221.879,8221.879,8221.879,406.088,35046.074,0.552,0.552,0.0,0.0,1
91,Completion,406.139,406.088,-0.051,8221.879,8221.879,0.0,8221.879,8221.879,8221.879,406.088,35046.074,0.552,0.552,0.0,0.0,1
