index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
92,decode: post: build dummy inputs,211.426,211.426,0.0,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.426,50343.824,35.552,35.552,0.0,0.0,1
93,decode: build dynamic axes,211.426,211.426,0.0,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.426,50343.824,24.886,24.886,0.0,0.0,1
94,decode: post: build dynamic axes,211.426,211.426,0.0,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.426,50343.824,17.42,17.42,0.0,0.0,1
95,decode: build output names,211.426,211.426,0.0,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.426,50343.824,12.194,12.194,0.0,0.0,1
96,decode: post: build output names,211.426,211.427,0.0,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.427,50343.824,8.536,8.536,0.0,0.0,1
97,decode: language export,211.427,211.442,0.015,23481.059,23481.059,0.0,23481.059,23481.059,23481.059,211.441,50343.824,11.22,11.22,0.0,0.0,1
98,decode: torch.onnx.export,211.442,234.874,23.433,23926.895,15266.457,-8660.438,15266.457,28461.841,41913.145,212.318,68775.848,13.759,45.795,6.476,11901.648,37
99,decode: post: torch.onnx.export,234.874,234.874,0.0,15266.457,15266.457,0.0,15266.457,15266.457,15266.457,234.874,42129.031,0.626,0.626,0.0,0.0,1
100,decode: language offload pytorch weights,234.874,235.274,0.399,15189.949,14813.492,-376.457,14813.492,15001.721,15189.949,234.888,42088.527,0.775,0.778,0.017,0.0,2
101,decode: post: language offload pytorch weights,235.274,235.274,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.274,41630.992,4.505,4.505,0.0,0.0,1
102,decode: onnx.load,235.274,235.275,0.001,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.274,41630.992,3.154,3.154,0.0,0.0,1
103,decode: post: onnx.load,235.275,235.275,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.275,41630.992,2.208,2.208,0.0,0.0,1
104,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",235.275,235.278,0.003,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.278,41630.992,1.545,1.545,0.0,0.0,1
105,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",235.278,235.278,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.278,41630.992,1.082,1.082,0.0,0.0,1
106,decode: onnx.save,235.278,235.281,0.003,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.281,41630.992,0.757,0.757,0.0,0.0,1
107,decode: post: onnx.save,235.281,235.608,0.327,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.608,41630.992,0.767,0.767,0.0,0.0,1
108,decode: post: language export,235.608,235.609,0.001,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.608,41630.992,0.537,0.537,0.0,0.0,1
109,decode: post: dual-qpc export orchestration,235.609,235.609,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.609,41630.992,0.376,0.376,0.0,0.0,1
110,decode: onnx.load,235.609,235.61,0.001,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.609,41630.992,0.263,0.263,0.0,0.0,1
111,decode: post: onnx.load,235.61,235.61,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.61,41630.992,0.184,0.184,0.0,0.0,1
112,decode: language compile wrapper,235.61,235.61,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.61,41630.992,0.129,0.129,0.0,0.0,1
113,decode: onnx.load,235.61,235.611,0.0,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.61,41630.992,0.09,0.09,0.0,0.0,1
114,decode: post: onnx.load,235.611,235.618,0.007,14813.492,14813.492,0.0,14813.492,14813.492,14813.492,235.618,41630.992,0.381,0.381,0.0,0.0,1
115,decode: subprocess.run: qaic-compile,235.618,285.067,49.449,14813.492,14813.504,0.012,14813.492,16127.969,18100.023,272.994,61977.598,0.807,3.202,6.44,5399.676,959
116,decode: post: subprocess.run: qaic-compile,285.067,285.068,0.001,14813.504,14813.504,0.0,14813.504,14813.504,14813.504,285.068,41630.992,0.469,0.469,0.0,0.0,1
117,decode: post: language compile wrapper,285.068,285.068,0.0,14813.504,14813.504,0.0,14813.504,14813.504,14813.504,285.068,41630.992,0.328,0.328,0.0,0.0,1
118,decode: post: compile request,285.068,285.072,0.004,14813.504,14813.504,0.0,14813.504,14813.504,14813.504,285.068,41630.992,0.328,0.328,0.0,0.0,1
119,Completion,285.072,285.068,-0.004,14813.504,14813.504,0.0,14813.504,14813.504,14813.504,285.068,41630.992,0.328,0.328,0.0,0.0,1
