index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
40,post: language: onnx.load,1.464,1.465,0.001,993.949,993.949,0.0,993.949,993.949,993.949,1.465,11432.023,0.458,0.458,0.0,0.0,1
41,post: language compile wrapper,1.465,1.465,0.0,993.949,993.949,0.0,993.949,993.949,993.949,1.465,11432.023,0.32,0.32,0.0,0.0,1
42,post: compile orchestration: qeff_model.compile,1.465,1.465,0.0,993.949,993.949,0.0,993.949,993.949,993.949,1.465,11432.023,0.224,0.224,0.0,0.0,1
43,processor: apply_chat_template,1.465,1.508,0.043,996.973,996.973,0.0,996.973,996.973,996.973,1.507,19880.523,0.597,0.597,0.0,0.0,1
44,post: processor: apply_chat_template,1.508,1.508,0.0,996.973,996.973,0.0,996.973,996.973,996.973,1.508,19880.523,0.418,0.418,0.0,0.0,1
45,model: prepare_inputs_for_generation,1.508,1.508,0.0,996.973,996.973,0.0,996.973,996.973,996.973,1.508,19880.523,0.292,0.292,0.0,0.0,1
46,prepare inputs for generation,1.508,1.509,0.001,997.859,997.859,0.0,997.859,997.859,997.859,1.509,19880.523,0.205,0.205,0.0,0.0,1
47,post: prepare inputs for generation,1.509,1.51,0.0,997.859,997.859,0.0,997.859,997.859,997.859,1.509,19880.523,0.143,0.143,0.0,0.0,1
48,post: model: prepare_inputs_for_generation,1.51,1.51,0.0,997.859,997.859,0.0,997.859,997.859,997.859,1.51,19880.523,0.1,0.1,0.0,0.0,1
49,qeff_model.generate,1.51,1.51,0.0,997.859,997.859,0.0,997.859,997.859,997.859,1.51,19880.523,0.07,0.07,0.0,0.0,1
50,qeff generate,1.51,12.048,10.538,1014.449,1014.223,-0.227,1014.223,1014.426,1014.453,4.123,28644.656,0.676,0.805,1.301,0.0,9
51,post: qeff generate,12.048,12.049,0.0,1014.223,1014.223,0.0,1014.223,1014.223,1014.223,12.048,28447.25,0.369,0.369,0.0,0.0,1
52,post: qeff_model.generate,12.049,12.049,0.0,1014.223,1014.223,0.0,1014.223,1014.223,1014.223,12.049,28447.25,0.259,0.259,0.0,0.0,1
53,decode: tokenizer.batch_decode,12.049,12.05,0.001,1014.223,1014.223,0.0,1014.223,1014.223,1014.223,12.049,28447.25,0.181,0.181,0.0,0.0,1
54,post: decode: tokenizer.batch_decode,12.05,12.167,0.117,1014.223,1014.223,0.0,1014.223,1014.223,1014.223,12.116,28447.25,0.373,0.373,0.0,0.0,1
55,Completion,12.167,12.116,-0.051,1014.223,1014.223,0.0,1014.223,1014.223,1014.223,12.116,28447.25,0.373,0.373,0.0,0.0,1
