index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
51,decode: post: vision pytorch transform,60.857,60.857,0.0,12741.234,12741.234,0.0,12741.234,12741.234,12741.234,60.857,41727.219,0.17,0.17,0.0,0.0,1
52,decode: language pytorch transform,60.857,60.857,0.0,12741.234,12741.234,0.0,12741.234,12741.234,12741.234,60.857,41727.219,0.119,0.119,0.0,0.0,1
53,decode: post: language pytorch transform,60.857,60.858,0.0,12741.234,12741.234,0.0,12741.234,12741.234,12741.234,60.857,41727.219,0.083,0.083,0.0,0.0,1
54,decode: dual-qpc export orchestration,60.858,60.858,0.0,12741.234,12741.234,0.0,12741.234,12741.234,12741.234,60.858,41727.219,0.058,0.058,0.0,0.0,1
55,decode: build dummy inputs,60.858,60.86,0.002,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,11.581,11.581,0.0,0.0,1
56,decode: post: build dummy inputs,60.86,60.86,0.0,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,8.107,8.107,0.0,0.0,1
57,decode: build dynamic axes,60.86,60.86,0.0,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,5.675,5.675,0.0,0.0,1
58,decode: post: build dynamic axes,60.86,60.86,0.0,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,3.972,3.972,0.0,0.0,1
59,decode: build output names,60.86,60.86,0.0,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,2.781,2.781,0.0,0.0,1
60,decode: post: build output names,60.86,60.86,0.0,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.86,41727.219,1.946,1.946,0.0,0.0,1
61,decode: language export,60.86,60.877,0.016,12749.383,12749.383,0.0,12749.383,12749.383,12749.383,60.876,41727.219,6.294,6.294,0.0,0.0,1
62,decode: torch.onnx.export,60.877,115.188,54.311,12757.312,12878.625,121.312,12757.312,26218.033,31216.965,87.628,60159.242,2.667,38.176,37.439,11901.648,226
63,decode: post: torch.onnx.export,115.188,115.188,0.0,12878.625,12878.625,0.0,12878.625,12878.625,12878.625,115.188,41727.219,0.947,0.947,0.0,0.0,1
64,decode: language offload pytorch weights,115.188,115.188,0.0,12878.625,12878.625,0.0,12878.625,12878.625,12878.625,115.188,41727.219,0.663,0.663,0.0,0.0,1
65,decode: post: language offload pytorch weights,115.188,115.189,0.0,12878.625,12878.625,0.0,12878.625,12878.625,12878.625,115.188,41727.219,0.464,0.464,0.0,0.0,1
66,decode: onnx.load,115.189,115.189,0.0,12878.625,12878.625,0.0,12878.625,12878.625,12878.625,115.189,41727.219,0.325,0.325,0.0,0.0,1
67,decode: post: onnx.load,115.189,115.189,0.0,12878.625,12878.625,0.0,12878.625,12878.625,12878.625,115.189,41727.219,0.227,0.227,0.0,0.0,1
68,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",115.189,115.192,0.003,12878.629,12878.629,0.0,12878.629,12878.629,12878.629,115.192,41727.219,0.159,0.159,0.0,0.0,1
69,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",115.192,115.192,0.0,12878.629,12878.629,0.0,12878.629,12878.629,12878.629,115.192,41727.219,0.111,0.111,0.0,0.0,1
70,decode: onnx.save,115.192,115.195,0.003,12878.629,12878.629,0.0,12878.629,12878.629,12878.629,115.195,41727.219,0.078,0.078,0.0,0.0,1
71,decode: post: onnx.save,115.195,115.495,0.3,12878.629,12878.629,0.0,12878.629,12878.629,12878.629,115.495,41727.219,0.297,0.297,0.0,0.0,1
72,decode: post: language export,115.495,115.496,0.0,12878.629,12878.629,0.0,12878.629,12878.629,12878.629,115.495,41727.219,0.208,0.208,0.0,0.0,1
73,decode: post: dual-qpc export orchestration,115.496,115.732,0.236,12744.77,12744.77,0.0,12744.77,12744.77,12744.77,115.731,41727.219,0.403,0.403,0.0,0.0,1
74,decode: onnx.load,115.732,115.733,0.001,12745.395,12745.395,0.0,12745.395,12745.395,12745.395,115.733,41727.219,0.282,0.282,0.0,0.0,1
75,decode: post: onnx.load,115.733,115.733,0.0,12745.395,12745.395,0.0,12745.395,12745.395,12745.395,115.733,41727.219,0.198,0.198,0.0,0.0,1
76,decode: language compile wrapper,115.733,115.734,0.0,12745.395,12745.395,0.0,12745.395,12745.395,12745.395,115.733,41727.219,0.138,0.138,0.0,0.0,1
77,decode: onnx.load,115.734,115.734,0.0,12745.395,12745.395,0.0,12745.395,12745.395,12745.395,115.734,41727.219,0.097,0.097,0.0,0.0,1
78,decode: post: onnx.load,115.734,115.735,0.001,12745.395,12745.395,0.0,12745.395,12745.395,12745.395,115.735,41727.219,0.068,0.068,0.0,0.0,1
79,decode: subprocess.run: qaic-compile,115.735,167.366,51.631,12745.406,12745.418,0.012,12745.406,14073.041,16001.016,154.515,62048.039,0.806,2.324,6.385,5399.676,504
80,decode: post: subprocess.run: qaic-compile,167.366,167.367,0.001,12745.418,12745.418,0.0,12745.418,12745.418,12745.418,167.367,41727.219,0.424,0.424,0.0,0.0,1
81,decode: post: language compile wrapper,167.367,167.605,0.238,12744.781,12744.781,0.0,12744.781,12744.781,12744.781,167.604,41727.219,0.543,0.543,0.0,0.0,1
82,decode: post: compile request,167.605,167.605,0.0,12744.781,12744.781,0.0,12744.781,12744.781,12744.781,167.605,41727.219,0.38,0.38,0.0,0.0,1
83,prefill: compile request,167.605,167.605,0.0,12744.781,12744.781,0.0,12744.781,12744.781,12744.781,167.605,41727.219,0.266,0.266,0.0,0.0,1
84,prefill: build output names,167.605,167.606,0.0,12744.781,12744.781,0.0,12744.781,12744.781,12744.781,167.605,41727.219,0.186,0.186,0.0,0.0,1
85,prefill: post: build output names,167.606,167.606,0.001,12744.781,12744.781,0.0,12744.781,12744.781,12744.781,167.606,41727.219,0.13,0.13,0.0,0.0,1
86,prefill: vision pytorch transform,167.606,167.607,0.0,12744.793,12744.793,0.0,12744.793,12744.793,12744.793,167.606,41727.219,0.091,0.091,0.0,0.0,1
87,prefill: post: vision pytorch transform,167.607,167.607,0.0,12744.793,12744.793,0.0,12744.793,12744.793,12744.793,167.607,41727.219,0.064,0.064,0.0,0.0,1
88,prefill: language pytorch transform,167.607,167.607,0.0,12744.793,12744.793,0.0,12744.793,12744.793,12744.793,167.607,41727.219,0.045,0.045,0.0,0.0,1
89,prefill: post: language pytorch transform,167.607,167.607,0.0,12744.793,12744.793,0.0,12744.793,12744.793,12744.793,167.607,41727.219,0.031,0.031,0.0,0.0,1
90,prefill: dual-qpc export orchestration,167.607,167.608,0.0,12744.793,12744.793,0.0,12744.793,12744.793,12744.793,167.607,41727.219,0.022,0.022,0.0,0.0,1
91,prefill: build dummy inputs,167.608,167.61,0.002,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.61,41727.219,9.979,9.979,0.0,0.0,1
92,prefill: post: build dummy inputs,167.61,167.61,0.0,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.61,41727.219,14.879,14.879,0.0,0.0,1
93,prefill: build dynamic axes,167.61,167.61,0.0,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.61,41727.219,10.415,10.415,0.0,0.0,1
94,prefill: post: build dynamic axes,167.61,167.611,0.0,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.61,41727.219,37.291,37.291,0.0,0.0,1
95,prefill: build output names,167.611,167.611,0.0,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.611,41727.219,26.103,26.103,0.0,0.0,1
96,prefill: post: build output names,167.611,167.611,0.0,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.611,41727.219,18.272,18.272,0.0,0.0,1
97,prefill: language export,167.611,167.618,0.007,12752.941,12752.941,0.0,12752.941,12752.941,12752.941,167.618,41727.219,21.937,21.937,0.0,0.0,1
98,prefill: torch.onnx.export,167.618,531.223,363.605,12762.578,22238.297,9475.719,12762.578,12873.91,22238.297,531.221,49990.137,1.901,28.876,442.069,11902.101,2672
99,prefill: post: torch.onnx.export,531.223,531.224,0.0,22238.297,22238.297,0.0,22238.297,22238.297,22238.297,531.223,49990.137,3.766,3.766,0.0,0.0,1
100,prefill: language offload pytorch weights,531.224,532.31,1.086,21632.172,12894.266,-8737.906,12894.266,16945.738,21632.172,531.271,49990.137,1.89,3.128,0.996,0.0,7
101,prefill: post: language offload pytorch weights,532.31,532.31,0.0,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.31,40646.105,0.814,0.814,0.0,0.0,1
102,prefill: onnx.load,532.31,532.312,0.002,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.312,40646.105,1.685,1.685,0.0,0.0,1
103,prefill: post: onnx.load,532.312,532.312,0.0,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.312,40646.105,1.18,1.18,0.0,0.0,1
104,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",532.312,532.317,0.004,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.317,40646.105,0.826,0.826,0.0,0.0,1
105,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",532.317,532.317,0.0,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.317,40646.105,0.578,0.578,0.0,0.0,1
106,prefill: onnx.save,532.317,532.331,0.014,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.331,40646.105,0.573,0.573,0.0,0.0,1
107,prefill: post: onnx.save,532.331,532.57,0.238,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.569,40646.105,0.637,0.637,0.0,0.0,1
108,prefill: post: language export,532.57,532.57,0.0,12894.266,12894.266,0.0,12894.266,12894.266,12894.266,532.57,40646.105,0.446,0.446,0.0,0.0,1
109,prefill: post: dual-qpc export orchestration,532.57,532.842,0.272,12626.512,12626.512,0.0,12626.512,12626.512,12626.512,532.841,40627.23,0.597,0.597,0.0,0.0,1
110,prefill: onnx.load,532.842,532.845,0.003,12630.188,12630.188,0.0,12630.188,12630.188,12630.188,532.845,40627.23,0.418,0.418,0.0,0.0,1
111,prefill: post: onnx.load,532.845,532.845,0.0,12630.188,12630.188,0.0,12630.188,12630.188,12630.188,532.845,40627.23,0.292,0.292,0.0,0.0,1
112,prefill: language compile wrapper,532.845,532.845,0.0,12630.188,12630.188,0.0,12630.188,12630.188,12630.188,532.845,40627.23,0.205,0.205,0.0,0.0,1
113,prefill: onnx.load,532.845,532.846,0.001,12630.188,12630.188,0.0,12630.188,12630.188,12630.188,532.846,40627.23,0.143,0.143,0.0,0.0,1
114,prefill: post: onnx.load,532.846,532.85,0.004,12630.199,12630.199,0.0,12630.199,12630.199,12630.199,532.85,40627.23,0.681,0.681,0.0,0.0,1
115,prefill: subprocess.run: qaic-compile,532.85,620.46,87.609,12630.211,12630.219,0.008,12630.211,13337.83,15676.312,616.359,56169.367,1.196,15.581,9.351,5425.617,858
116,prefill: post: subprocess.run: qaic-compile,620.46,620.461,0.001,12630.223,12630.223,0.0,12630.223,12630.223,12630.223,620.461,40627.23,1.899,1.899,0.0,0.0,1
117,prefill: post: language compile wrapper,620.461,620.712,0.251,12626.52,12626.52,0.0,12626.52,12626.52,12626.52,620.712,40627.23,1.572,1.572,0.0,0.0,1
118,prefill: post: compile request,620.712,620.876,0.164,12626.543,12626.543,0.0,12626.543,12626.543,12626.543,620.776,40627.23,1.284,1.284,0.0,0.0,1
119,Completion,620.876,620.776,-0.101,12626.543,12626.543,0.0,12626.543,12626.543,12626.543,620.776,40627.23,1.284,1.284,0.0,0.0,1
