index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
45,vision: post: vision compile wrapper,55.479,55.479,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.479,42043.617,0.363,0.363,0.0,0.0,1
46,vision: post: compile request,55.479,55.479,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.479,42043.617,0.254,0.254,0.0,0.0,1
47,decode: compile request,55.479,55.479,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.479,42043.617,0.178,0.178,0.0,0.0,1
48,decode: build output names,55.479,55.479,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.479,42043.617,0.125,0.125,0.0,0.0,1
49,decode: post: build output names,55.479,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.479,42043.617,0.087,0.087,0.0,0.0,1
50,decode: vision pytorch transform,55.48,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.48,42043.617,0.061,0.061,0.0,0.0,1
51,decode: post: vision pytorch transform,55.48,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.48,42043.617,0.043,0.043,0.0,0.0,1
52,decode: language pytorch transform,55.48,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.48,42043.617,0.03,0.03,0.0,0.0,1
53,decode: post: language pytorch transform,55.48,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.48,42043.617,0.021,0.021,0.0,0.0,1
54,decode: dual-qpc export orchestration,55.48,55.48,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.48,42043.617,0.015,0.015,0.0,0.0,1
55,decode: build dummy inputs,55.48,55.481,0.001,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,11.107,11.107,0.0,0.0,1
56,decode: post: build dummy inputs,55.481,55.481,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,7.775,7.775,0.0,0.0,1
57,decode: build dynamic axes,55.481,55.481,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,5.442,5.442,0.0,0.0,1
58,decode: post: build dynamic axes,55.481,55.481,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,3.81,3.81,0.0,0.0,1
59,decode: build output names,55.481,55.481,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,2.667,2.667,0.0,0.0,1
60,decode: post: build output names,55.481,55.482,0.0,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.481,42043.617,1.867,1.867,0.0,0.0,1
61,decode: language export,55.482,55.49,0.008,15241.441,15241.441,0.0,15241.441,15241.441,15241.441,55.489,42043.617,11.194,11.194,0.0,0.0,1
62,decode: torch.onnx.export,55.49,83.683,28.193,15702.777,15245.051,-457.727,15245.051,24914.772,33675.348,57.062,60475.641,19.751,48.105,7.89,11901.649,45
63,decode: post: torch.onnx.export,83.683,83.683,0.001,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.683,42043.617,0.705,0.705,0.0,0.0,1
64,decode: language offload pytorch weights,83.683,83.683,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.683,42043.617,0.494,0.494,0.0,0.0,1
65,decode: post: language offload pytorch weights,83.683,83.684,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.683,42043.617,0.345,0.345,0.0,0.0,1
66,decode: onnx.load,83.684,83.684,0.001,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.684,42043.617,0.242,0.242,0.0,0.0,1
67,decode: post: onnx.load,83.684,83.685,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.684,42043.617,0.169,0.169,0.0,0.0,1
68,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",83.685,83.688,0.003,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.688,42043.617,0.118,0.118,0.0,0.0,1
69,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",83.688,83.689,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.688,42043.617,0.083,0.083,0.0,0.0,1
70,decode: onnx.save,83.689,83.692,0.003,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.691,42043.617,0.058,0.058,0.0,0.0,1
71,decode: post: onnx.save,83.692,84.047,0.355,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,83.692,42043.617,0.154,0.267,0.001,0.004,2
72,decode: post: language export,84.047,84.047,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.047,42043.617,0.187,0.187,0.0,0.0,1
73,decode: post: dual-qpc export orchestration,84.047,84.047,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.047,42043.617,0.131,0.131,0.0,0.0,1
74,decode: onnx.load,84.047,84.048,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.047,42043.617,0.091,0.091,0.0,0.0,1
75,decode: post: onnx.load,84.048,84.048,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.048,42043.617,0.064,0.064,0.0,0.0,1
76,decode: language compile wrapper,84.048,84.048,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.048,42043.617,0.045,0.045,0.0,0.0,1
77,decode: onnx.load,84.048,84.048,0.0,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.048,42043.617,0.031,0.031,0.0,0.0,1
78,decode: post: onnx.load,84.048,84.049,0.001,15245.051,15245.051,0.0,15245.051,15245.051,15245.051,84.049,42043.617,0.022,0.022,0.0,0.0,1
79,decode: subprocess.run: qaic-compile,84.049,134.145,50.096,15307.133,15245.086,-62.047,15245.086,16572.389,18524.082,121.981,62394.004,0.81,3.328,5.427,5399.614,971
80,decode: post: subprocess.run: qaic-compile,134.145,134.146,0.001,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.146,42043.617,0.428,0.428,0.0,0.0,1
81,decode: post: language compile wrapper,134.146,134.146,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.146,42043.617,0.299,0.299,0.0,0.0,1
82,decode: post: compile request,134.146,134.146,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.146,42043.617,0.21,0.21,0.0,0.0,1
83,prefill: compile request,134.146,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.147,0.147,0.0,0.0,1
84,prefill: build output names,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.103,0.103,0.0,0.0,1
85,prefill: post: build output names,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.072,0.072,0.0,0.0,1
86,prefill: vision pytorch transform,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.05,0.05,0.0,0.0,1
87,prefill: post: vision pytorch transform,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.035,0.035,0.0,0.0,1
88,prefill: language pytorch transform,134.147,134.147,0.0,15245.086,15245.086,0.0,15245.086,15245.086,15245.086,134.147,42043.617,0.025,0.025,0.0,0.0,1
