index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
46,prefill: build output names,177.092,177.092,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.092,88002.906,0.161,0.161,0.0,0.0,1
47,prefill: post: build output names,177.092,177.092,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.092,88002.906,0.113,0.113,0.0,0.0,1
48,prefill: vision pytorch transform,177.092,177.093,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.092,88002.906,0.079,0.079,0.0,0.0,1
49,prefill: post: vision pytorch transform,177.093,177.093,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.093,88002.906,0.055,0.055,0.0,0.0,1
50,prefill: language pytorch transform,177.093,177.093,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.093,88002.906,0.039,0.039,0.0,0.0,1
51,prefill: post: language pytorch transform,177.093,177.093,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.093,88002.906,0.027,0.027,0.0,0.0,1
52,prefill: dual-qpc export orchestration,177.093,177.093,0.0,61234.875,61234.875,0.0,61234.875,61234.875,61234.875,177.093,88002.906,0.019,0.019,0.0,0.0,1
53,prefill: build dummy inputs,177.093,177.099,0.006,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.098,88110.414,14.519,14.519,0.0,0.0,1
54,prefill: post: build dummy inputs,177.099,177.099,0.0,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.099,88110.414,10.163,10.163,0.0,0.0,1
55,prefill: build dynamic axes,177.099,177.099,0.0,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.099,88110.414,15.049,15.049,0.0,0.0,1
56,prefill: post: build dynamic axes,177.099,177.099,0.0,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.099,88110.414,10.534,10.534,0.0,0.0,1
57,prefill: build output names,177.099,177.1,0.0,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.099,88110.414,37.374,37.374,0.0,0.0,1
58,prefill: post: build output names,177.1,177.1,0.0,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.1,88110.414,26.162,26.162,0.0,0.0,1
59,prefill: language export,177.1,177.109,0.009,61342.383,61342.383,0.0,61342.383,61342.383,61342.383,177.109,88110.414,25.456,25.456,0.0,0.0,1
60,prefill: torch.onnx.export,177.109,292.662,115.553,61342.652,61473.387,130.734,61342.652,91252.895,113711.414,183.768,140385.055,15.73,46.589,34.801,57926.257,175
61,prefill: post: torch.onnx.export,292.662,292.667,0.006,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.662,88144.703,0.703,0.703,0.0,0.0,1
62,prefill: language offload pytorch weights,292.667,292.673,0.005,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.667,88144.703,0.919,0.919,0.0,0.0,1
63,prefill: post: language offload pytorch weights,292.673,292.676,0.003,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.673,88144.703,0.643,0.643,0.0,0.0,1
64,prefill: onnx.load,292.676,292.678,0.002,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.678,88144.703,0.45,0.45,0.0,0.0,1
65,prefill: post: onnx.load,292.678,292.678,0.0,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.678,88144.703,0.315,0.315,0.0,0.0,1
66,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",292.678,292.686,0.008,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.685,88144.703,0.532,0.532,0.0,0.0,1
67,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",292.686,292.686,0.0,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.686,88144.703,0.372,0.372,0.0,0.0,1
68,prefill: onnx.save,292.686,292.739,0.053,61473.387,61473.387,0.0,61473.387,61473.387,61473.387,292.739,88144.703,0.481,0.481,0.0,0.0,1
