index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
87,decode: post: language pytorch transform,318.335,318.336,0.0,61364.16,61364.16,0.0,61364.16,61364.16,61364.16,318.335,88076.68,0.174,0.174,0.0,0.0,1
88,decode: dual-qpc export orchestration,318.336,318.336,0.0,61364.16,61364.16,0.0,61364.16,61364.16,61364.16,318.336,88076.68,0.122,0.122,0.0,0.0,1
89,decode: build dummy inputs,318.336,318.343,0.007,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.343,88184.188,12.43,12.43,0.0,0.0,1
90,decode: post: build dummy inputs,318.343,318.343,0.0,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.343,88184.188,8.701,8.701,0.0,0.0,1
91,decode: build dynamic axes,318.343,318.343,0.0,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.343,88184.188,6.091,6.091,0.0,0.0,1
92,decode: post: build dynamic axes,318.343,318.343,0.0,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.343,88184.188,34.263,34.263,0.0,0.0,1
93,decode: build output names,318.343,318.343,0.0,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.343,88184.188,23.984,23.984,0.0,0.0,1
94,decode: post: build output names,318.343,318.344,0.0,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.344,88184.188,16.789,16.789,0.0,0.0,1
95,decode: language export,318.344,318.362,0.019,61471.668,61471.668,0.0,61471.668,61471.668,61471.668,318.362,88184.188,15.786,15.786,0.0,0.0,1
96,decode: torch.onnx.export,318.362,426.616,108.254,61471.676,61485.738,14.062,61471.676,78737.084,92240.242,320.18,118979.879,10.148,48.744,15.122,57926.228,81
97,decode: post: torch.onnx.export,426.616,426.622,0.006,61485.738,61485.738,0.0,61485.738,61485.738,61485.738,426.616,88197.855,0.666,0.666,0.0,0.0,1
98,decode: language offload pytorch weights,426.622,427.02,0.398,60844.238,59853.355,-990.883,59853.355,60348.797,60844.238,426.699,87570.316,0.872,0.873,0.176,0.0,2
99,decode: post: language offload pytorch weights,427.02,427.02,0.0,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.02,86565.473,0.611,0.611,0.0,0.0,1
100,decode: onnx.load,427.02,427.023,0.003,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.022,86565.473,0.428,0.428,0.0,0.0,1
101,decode: post: onnx.load,427.023,427.023,0.0,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.023,86565.473,0.299,0.299,0.0,0.0,1
102,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",427.023,427.03,0.008,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.03,86565.473,0.523,0.523,0.0,0.0,1
103,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",427.03,427.031,0.0,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.031,86565.473,0.366,0.366,0.0,0.0,1
104,decode: onnx.save,427.031,427.084,0.053,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.084,86565.473,0.521,0.521,0.0,0.0,1
105,decode: post: onnx.save,427.084,427.326,0.242,59853.355,59853.355,0.0,59853.355,59853.355,59853.355,427.325,86565.473,0.597,0.597,0.0,0.0,1
106,decode: post: language export,427.326,427.341,0.015,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.34,86457.965,1.042,1.042,0.0,0.0,1
107,decode: post: dual-qpc export orchestration,427.341,427.341,0.0,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.341,86457.965,0.729,0.729,0.0,0.0,1
108,decode: onnx.load,427.341,427.343,0.002,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.343,86457.965,0.511,0.511,0.0,0.0,1
109,decode: post: onnx.load,427.343,427.344,0.0,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.344,86457.965,0.357,0.357,0.0,0.0,1
110,decode: language compile wrapper,427.344,427.344,0.0,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.344,86457.965,0.25,0.25,0.0,0.0,1
111,decode: onnx.load,427.344,427.346,0.002,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.346,86457.965,0.175,0.175,0.0,0.0,1
112,decode: post: onnx.load,427.346,427.347,0.001,59745.848,59745.848,0.0,59745.848,59745.848,59745.848,427.347,86457.965,0.123,0.123,0.0,0.0,1
113,decode: subprocess.run: qaic-compile,427.347,720.835,293.489,59745.848,59746.52,0.672,59745.848,65123.156,75454.379,474.577,127927.789,1.084,5.024,29.42,22102.589,5674
114,decode: post: subprocess.run: qaic-compile,720.835,720.838,0.002,59746.52,59746.52,0.0,59746.52,59746.52,59746.52,720.838,86458.965,1.312,1.312,0.0,0.0,1
115,decode: post: language compile wrapper,720.838,720.838,0.0,59746.52,59746.52,0.0,59746.52,59746.52,59746.52,720.838,86458.965,0.918,0.918,0.0,0.0,1
116,decode: post: compile request,720.838,720.845,0.007,59746.52,59746.52,0.0,59746.52,59746.52,59746.52,720.838,86458.965,0.918,0.918,0.0,0.0,1
117,Completion,720.845,720.838,-0.007,59746.52,59746.52,0.0,59746.52,59746.52,59746.52,720.838,86458.965,0.918,0.918,0.0,0.0,1
