index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
37,prefill: post: dual-qpc export orchestration,141.509,141.509,0.0,61372.168,61372.168,0.0,61372.168,61372.168,61372.168,141.509,88065.672,0.544,0.544,0.0,0.0,1
38,prefill: onnx.load,141.509,141.511,0.002,61372.168,61372.168,0.0,61372.168,61372.168,61372.168,141.511,88065.672,1.381,1.381,0.0,0.0,1
39,prefill: post: onnx.load,141.511,141.512,0.0,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,141.512,88065.672,0.967,0.967,0.0,0.0,1
40,prefill: language compile wrapper,141.512,141.512,0.0,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,141.512,88065.672,0.677,0.677,0.0,0.0,1
41,prefill: onnx.load,141.512,141.514,0.002,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,141.514,88065.672,0.474,0.474,0.0,0.0,1
42,prefill: post: onnx.load,141.514,141.515,0.001,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,141.514,88065.672,0.332,0.332,0.0,0.0,1
43,prefill: subprocess.run: qaic-compile,141.515,171.338,29.823,61461.043,61372.172,-88.871,61372.172,61934.574,62132.559,157.074,104248.613,0.793,0.916,2.294,0.064,581
44,prefill: post: subprocess.run: qaic-compile,171.338,171.338,0.0,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,171.338,88065.672,0.437,0.437,0.0,0.0,1
45,prefill: post: language compile wrapper,171.338,171.338,0.0,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,171.338,88065.672,0.306,0.306,0.0,0.0,1
46,prefill: post: compile request,171.338,171.481,0.143,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,171.431,88065.672,0.391,0.391,0.0,0.0,1
47,Completion,171.481,171.431,-0.05,61372.172,61372.172,0.0,61372.172,61372.172,61372.172,171.431,88065.672,0.391,0.391,0.0,0.0,1
