index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
38,decode: vision pytorch transform,5.399,5.399,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.399,40638.836,0.135,0.135,0.0,0.0,1
39,decode: post: vision pytorch transform,5.399,5.399,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.399,40638.836,0.094,0.094,0.0,0.0,1
40,decode: language pytorch transform,5.399,5.399,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.399,40638.836,0.066,0.066,0.0,0.0,1
41,decode: post: language pytorch transform,5.399,5.4,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.4,40638.836,0.046,0.046,0.0,0.0,1
42,decode: dual-qpc export orchestration,5.4,5.4,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.4,40638.836,0.032,0.032,0.0,0.0,1
43,decode: build dummy inputs,5.4,5.404,0.004,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.403,40638.836,13.606,13.606,0.0,0.0,1
44,decode: post: build dummy inputs,5.404,5.404,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.404,40638.836,9.524,9.524,0.0,0.0,1
45,decode: build dynamic axes,5.404,5.404,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.404,40638.836,6.667,6.667,0.0,0.0,1
46,decode: post: build dynamic axes,5.404,5.404,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.404,40638.836,4.667,4.667,0.0,0.0,1
47,decode: build output names,5.404,5.404,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.404,40638.836,3.267,3.267,0.0,0.0,1
48,decode: post: build output names,5.404,5.405,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.405,40638.836,32.287,32.287,0.0,0.0,1
49,decode: language export,5.405,5.412,0.008,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.412,40638.836,31.497,31.497,0.0,0.0,1
50,decode: post: language export,5.412,5.413,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.412,40638.836,29.415,29.415,0.0,0.0,1
51,decode: post: dual-qpc export orchestration,5.413,5.413,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.413,40638.836,20.591,20.591,0.0,0.0,1
52,decode: onnx.load,5.413,5.414,0.001,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.413,40638.836,14.413,14.413,0.0,0.0,1
53,decode: post: onnx.load,5.414,5.414,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.414,40638.836,10.089,10.089,0.0,0.0,1
54,decode: language compile wrapper,5.414,5.414,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.414,40638.836,7.063,7.063,0.0,0.0,1
55,decode: onnx.load,5.414,5.414,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.414,40638.836,4.944,4.944,0.0,0.0,1
56,decode: post: onnx.load,5.414,5.415,0.001,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.415,40638.836,3.461,3.461,0.0,0.0,1
57,decode: post: language compile wrapper,5.415,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.415,40638.836,2.422,2.422,0.0,0.0,1
58,decode: post: compile request,5.416,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,1.696,1.696,0.0,0.0,1
59,prefill: compile request,5.416,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,1.187,1.187,0.0,0.0,1
60,prefill: build output names,5.416,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,0.831,0.831,0.0,0.0,1
61,prefill: post: build output names,5.416,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,0.582,0.582,0.0,0.0,1
62,prefill: vision pytorch transform,5.416,5.416,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,0.407,0.407,0.0,0.0,1
63,prefill: post: vision pytorch transform,5.416,5.417,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.416,40638.836,0.285,0.285,0.0,0.0,1
64,prefill: language pytorch transform,5.417,5.417,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.417,40638.836,0.2,0.2,0.0,0.0,1
65,prefill: post: language pytorch transform,5.417,5.417,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.417,40638.836,0.14,0.14,0.0,0.0,1
66,prefill: dual-qpc export orchestration,5.417,5.417,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.417,40638.836,0.098,0.098,0.0,0.0,1
67,prefill: build dummy inputs,5.417,5.418,0.001,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.418,40638.836,3.87,3.87,0.0,0.0,1
68,prefill: post: build dummy inputs,5.418,5.418,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.418,40638.836,2.709,2.709,0.0,0.0,1
69,prefill: build dynamic axes,5.418,5.418,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.418,40638.836,16.54,16.54,0.0,0.0,1
70,prefill: post: build dynamic axes,5.418,5.418,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.418,40638.836,11.578,11.578,0.0,0.0,1
71,prefill: build output names,5.418,5.419,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.418,40638.836,8.105,8.105,0.0,0.0,1
72,prefill: post: build output names,5.419,5.419,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.419,40638.836,35.673,35.673,0.0,0.0,1
73,prefill: language export,5.419,5.425,0.006,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.425,40638.836,39.094,39.094,0.0,0.0,1
74,prefill: post: language export,5.425,5.425,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.425,40638.836,27.365,27.365,0.0,0.0,1
75,prefill: post: dual-qpc export orchestration,5.425,5.426,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.425,40638.836,19.156,19.156,0.0,0.0,1
76,prefill: onnx.load,5.426,5.427,0.002,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.427,40638.836,28.406,28.406,0.0,0.0,1
77,prefill: post: onnx.load,5.427,5.428,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.427,40638.836,19.885,19.885,0.0,0.0,1
78,prefill: language compile wrapper,5.428,5.428,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.428,40638.836,13.919,13.919,0.0,0.0,1
79,prefill: onnx.load,5.428,5.429,0.001,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.428,40638.836,9.743,9.743,0.0,0.0,1
80,prefill: post: onnx.load,5.429,5.429,0.001,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.429,40638.836,6.82,6.82,0.0,0.0,1
81,prefill: post: language compile wrapper,5.429,5.43,0.0,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.43,40638.836,4.774,4.774,0.0,0.0,1
82,prefill: post: compile request,5.43,5.593,0.163,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.492,40638.836,3.642,3.642,0.0,0.0,1
83,Completion,5.593,5.492,-0.101,13827.887,13827.887,0.0,13827.887,13827.887,13827.887,5.492,40638.836,3.642,3.642,0.0,0.0,1
