index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
68,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",79.884,79.888,0.003,12872.746,12872.746,0.0,12872.746,12872.746,12872.746,79.888,39898.918,0.112,0.112,0.0,0.0,1
69,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",79.888,79.888,0.0,12872.746,12872.746,0.0,12872.746,12872.746,12872.746,79.888,39898.918,0.079,0.079,0.0,0.0,1
70,decode: onnx.save,79.888,79.891,0.003,12872.746,12872.746,0.0,12872.746,12872.746,12872.746,79.891,39898.918,0.055,0.055,0.0,0.0,1
71,decode: post: onnx.save,79.891,80.223,0.332,12872.746,12872.746,0.0,12872.746,12872.746,12872.746,80.223,39898.918,0.271,0.271,0.0,0.0,1
72,decode: post: language export,80.223,80.223,0.0,12872.746,12872.746,0.0,12872.746,12872.746,12872.746,80.223,39898.918,0.19,0.19,0.0,0.0,1
73,decode: post: dual-qpc export orchestration,80.223,80.449,0.225,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,80.448,39898.918,0.383,0.383,0.0,0.0,1
74,decode: onnx.load,80.449,80.449,0.001,12743.102,12743.102,0.0,12743.102,12743.102,12743.102,80.449,39898.918,0.268,0.268,0.0,0.0,1
75,decode: post: onnx.load,80.449,80.45,0.0,12743.102,12743.102,0.0,12743.102,12743.102,12743.102,80.449,39898.918,0.188,0.188,0.0,0.0,1
76,decode: language compile wrapper,80.45,80.45,0.0,12743.102,12743.102,0.0,12743.102,12743.102,12743.102,80.45,39898.918,0.131,0.131,0.0,0.0,1
77,decode: onnx.load,80.45,80.45,0.0,12743.102,12743.102,0.0,12743.102,12743.102,12743.102,80.45,39898.918,0.092,0.092,0.0,0.0,1
78,decode: post: onnx.load,80.45,80.452,0.002,12743.152,12743.152,0.0,12743.152,12743.152,12743.152,80.452,39898.918,0.064,0.064,0.0,0.0,1
79,decode: subprocess.run: qaic-compile,80.452,132.821,52.369,12743.156,12743.16,0.004,12743.156,14086.349,16029.492,98.18,60231.742,0.801,2.384,6.171,5399.647,514
80,decode: post: subprocess.run: qaic-compile,132.821,132.823,0.001,12743.16,12743.16,0.0,12743.16,12743.16,12743.16,132.823,39898.918,1.81,1.81,0.0,0.0,1
81,decode: post: language compile wrapper,132.823,133.245,0.422,12742.402,12742.402,0.0,12742.402,12742.402,12742.402,133.245,39898.918,1.506,1.506,0.0,0.0,1
82,decode: post: compile request,133.245,133.245,0.0,12742.406,12742.406,0.0,12742.406,12742.406,12742.406,133.245,39898.918,1.054,1.054,0.0,0.0,1
83,prefill: compile request,133.245,133.246,0.0,12742.406,12742.406,0.0,12742.406,12742.406,12742.406,133.246,39898.918,0.738,0.738,0.0,0.0,1
84,prefill: build output names,133.246,133.246,0.001,12742.406,12742.406,0.0,12742.406,12742.406,12742.406,133.246,39898.918,0.517,0.517,0.0,0.0,1
85,prefill: post: build output names,133.246,133.247,0.0,12742.422,12742.422,0.0,12742.422,12742.422,12742.422,133.246,39898.918,0.362,0.362,0.0,0.0,1
86,prefill: vision pytorch transform,133.247,133.247,0.0,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,133.247,39898.918,0.253,0.253,0.0,0.0,1
87,prefill: post: vision pytorch transform,133.247,133.247,0.0,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,133.247,39898.918,0.177,0.177,0.0,0.0,1
88,prefill: language pytorch transform,133.247,133.247,0.0,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,133.247,39898.918,0.124,0.124,0.0,0.0,1
89,prefill: post: language pytorch transform,133.247,133.247,0.0,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,133.247,39898.918,0.087,0.087,0.0,0.0,1
90,prefill: dual-qpc export orchestration,133.247,133.247,0.0,12742.426,12742.426,0.0,12742.426,12742.426,12742.426,133.247,39898.918,0.061,0.061,0.0,0.0,1
91,prefill: build dummy inputs,133.247,133.25,0.003,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.25,39898.918,10.886,10.886,0.0,0.0,1
92,prefill: post: build dummy inputs,133.25,133.25,0.0,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.25,39898.918,7.62,7.62,0.0,0.0,1
93,prefill: build dynamic axes,133.25,133.251,0.0,12747.711,12747.711,0.0,12747.711,12747.711,12747.711,133.25,39898.918,35.334,35.334,0.0,0.0,1
